,Item,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Carbohydrates,Dietary Fiber,Sugars,Protein
80,Chicken McNuggets (10 piece),470,30.0,5.0,0.0,65,900,30,2,0,22
81,Chicken McNuggets (20 piece),940,59.0,10.0,0.0,135,1800,59,3,0,44
82,Chicken McNuggets (40 piece),1880,118.0,20.0,1.0,265,3600,118,6,1,87
83,Filet-O-Fish,390,19.0,4.0,0.0,40,590,39,2,5,15
84,Premium Bacon Ranch Salad (without Chicken),140,7.0,3.5,0.0,25,300,10,3,4,9
85,Premium Bacon Ranch Salad with Crispy Chicken,380,21.0,6.0,0.0,70,860,22,2,5,25
86,Premium Bacon Ranch Salad with Grilled Chicken,220,8.0,4.0,0.0,85,690,8,2,4,29
87,Premium Southwest Salad (without Chicken),140,4.5,2.0,0.0,10,150,20,6,6,6
88,Premium Southwest Salad with Crispy Chicken,450,22.0,4.5,0.0,50,850,42,7,12,23
89,Premium Southwest Salad with Grilled Chicken,290,8.0,2.5,0.0,70,680,28,7,10,27
90,Chipotle BBQ Snack Wrap (Crispy Chicken),340,15.0,4.5,0.0,30,780,37,1,8,14
91,Chipotle BBQ Snack Wrap (Grilled Chicken),260,8.0,3.5,0.0,40,700,30,1,7,16
92,Honey Mustard Snack Wrap (Crispy Chicken),330,15.0,4.5,0.0,35,730,34,1,3,14
93,Honey Mustard Snack Wrap (Grilled Chicken),250,8.0,3.5,0.0,45,650,27,1,2,16
94,Ranch Snack Wrap (Crispy Chicken),360,20.0,5.0,0.0,40,810,32,1,3,15
95,Ranch Snack Wrap (Grilled Chicken),280,13.0,4.5,0.0,45,720,25,1,2,16
96,Small French Fries,230,11.0,1.5,0.0,0,130,30,2,0,2
97,Medium French Fries,340,16.0,2.5,0.0,0,190,44,4,0,4
98,Large French Fries,510,24.0,3.5,0.0,0,290,67,5,0,6
99,Kids French Fries,110,5.0,1.0,0.0,0,65,15,1,0,1
100,Side Salad,20,0.0,0.0,0.0,0,10,4,1,2,1
101,Apple Slices,15,0.0,0.0,0.0,0,0,4,0,3,0
