,Burgers,Calories,Total Fat,Sat Fat,Trans Fat,Chol.,Sodium,Total Carb,Fiber,Sugars,Protein
365,Darien Cookie Dough (Double),1090,59,35,0,295,960,127,0,95,18
366,Declaration of Donuts,560,28,16,0,125,410,69,0,58,9
367,Declaration of Donuts (Double),1120,56,32,0,250,830,137,0,115,19
368,Defend the Blend,600,35,19,0.5,165,430,69,0,59,9
369,Defend the Blend (Double),1190,69,38,1.5,330,860,139,0,117,18
370,Del Rey Way,430,23,12,0,115,290,49,0,35,9
371,Del Rey Way (Double),860,45,23,0,225,580,97,0,71,18
372,Devil's In The Details,550,31,16,1,150,460,64,0,50,9
373,Devil's In The Details (Double),1100,62,32,1.5,295,910,128,0,100,17
374,Do It For The Graham,460,20,11,0,130,250,62,0,50,9
375,Do It For The Graham (Double),920,40,22,0,265,510,123,1,101,17
376,Double Chocolate Trouble,490,26,15,0,140,420,57,0,40,9
377,Double Chocolate Trouble (Double),980,52,30,0,275,840,114,0,79,18
378,Doughnut Look Swell,440,23,13,0,115,330,49,0,40,9
379,Doughnut Look Swell (Double),880,47,26,0,230,660,99,0,81,18
380,Doughnuts Are Forever,370,19,11,0,110,220,42,0,37,8
381,Doughnuts are Forever (Double),730,37,21,0.5,225,440,84,1,74,16
382,Downtown Butter Brown,390,20,12,0,110,220,45,0,39,8
383,Downtown Butter Brown (Double),780,39,24,0,225,440,90,0,77,16
384,DTLA,480,30,19,0.5,125,150,50,0,41,8
385,DTLA (Double),960,61,37,1.5,250,310,99,1,82,16
386,Dust Devil,460,22,13,0,125,390,599,0,51,8
387,Dust Devil (Double),920,44,27,0,255,790,118,0,101,17
388,Easton Bound,470,24,15,0,135,390,55,0,47,9
389,Easton Bound (Double),940,48,30,0,270,770,111,1,94,18
390,Eaton' Around Town,510,28,17,1,130,190,63,0,51,8
391,Eaton' Around Town (Double),1010,55,33,1.5,260,390,127,0,102,16
392,Elm City Coffee Break,570,30,14,0,115,340,68,0,51,10
393,Elm City Coffee Break (Double),1150,59,28,0,235,690,136,0,101,19
394,Empire State,550,30,16,1,125,240,65,0,48,9
395,Empire State (Double),1090,61,31,1.5,250,470,131,1,97,18
396,Even S'more,520,27,15,0.5,125,210,66,0,52,8
397,Even S'more (Double),1040,55,30,1.5,255,420,133,1,104,17
398,Eye Drive,530,29,18,0,140,470,63,0,59,8
399,Eye Drive (Double),1070,58,36,0.5,280,950,125,1,117,16
400,Falls Fashion,430,22,13,0,120,390,50,0,44,8
401,Falls Fashion (Double),850,44,26,0,240,790,101,1,88,17
402,Fidi Fudge,470,28,17,0.5,130,180,52,1,44,9
403,Fidi Fudge (Double),930,56,34,1.5,260,350,104,2,86,17
404,Fluff'N Foster,490,22,12,0,130,340,64,0,55,9
405,Fluff'N Foster (Double),970,44,24,0,260,680,129,1,109,18
406,Fly Me To The Shack,550,35,21,0.5,130,170,58,0,48,9
407,Fly Me To The Shack (Double),1100,70,43,1.5,260,340,117,0,96,18
408,Fudge-eddaboutit,470,30,19,0.5,125,150,47,1,39,8
409,Fudge-eddaboutit (Double),940,60,37,1.5,250,310,95,1,79,16
410,Garden State,440,21,13,0,125,320,55,0,36,9
411,Garden State (Double),880,43,25,0,250,650,110,0,72,18
412,Give My Regards,520,29,18,0,130,420,60,0,54,9
413,Give My Regards (Double),1040,58,36,0,260,830,118,0,108,18
414,Glades Donuts,470,25,15,0,125,400,52,0,47,8
415,Glades Donuts (Double),930,51,30,0,255,800,105,0,93,16
416,Glazed Dazed Doughnut,520,28,16,0,130,490,61,0,52,9
417,Glazed Dazed Doughnut (Double),1050,56,33,0,265,990,121,0,104,17
418,Grahammy Nominated,390,18,10,0,110,250,50,1,40,8
419,Grahammy Nominated (Double),790,37,20,0,225,500,100,2,80,17
420,Great Salted Dessert,480,22,13,0,130,400,63,0,55,9
421,Great Salted Dessert (Double),960,44,27,0,255,790,126,0,109,17
422,Going Yard,520,26,14,0,125,410,68,0,57,9
423,Going Yard (Double),1050,52,29,0,250,830,135,0,114,19
424,Heights Bites,560,28,14,0,160,570,72,0,64,9
425,Heights Bites (Double),1130,56,28,0,315,1150,143,0,128,17
426,Hill of Beans,480,25,15,0,125,350,60,1,52,10
427,Hill of Beans (Double),970,51,31,0,245,700,120,2,105,19
428,Home-ward Bound,510,30,17,0.5,135,300,59,0,48,8
429,Home-ward Bound (Double),1020,59,35,1.5,265,600,117,0,97,16
430,Hopscotch,510,29,18,0,130,400,56,0,51,9
431,Hopscotch (Double),1020,57,36,0,260,810,113,0,103,17
432,Hopscotch (Roadie)*,2040,115,72,1,520,1610,226,0,206,34
433,Invictus,490,29,18,0.5,130,300,55,0,45,8
434,Invictus (Double),980,58,36,1.5,255,600,109,0,89,16
435,Jitney,490,26,15,0,140,57,57,0,40,9
436,Jitney (Double),980,52,30,0,275,840,114,0,79,18
437,Just Du It,570,29,16,0,150,470,68,0,58,9
438,Just Du It (Double),1130,59,32,0,295,940,137,0,116,18
439,Kierland Campfire,530,29,16,0.5,120,190,62,0,48,9
440,Kierland Campfire (Double),1050,58,32,1.5,245,390,124,1,95,17
441,King Neptune's Swirl,360,17,10,0,110,220,45,0,39,8
442,King Neptune's Swirl (Double),710,33,20,0,225,450,89,1,78,16
443,Larks-Brr,370,16,10,0,110,280,50,0,43,8
444,Larks-Brr (Double),750,33,20,0,225,520,99,0,85,16
445,Lemon Grove,460,20,11,0,130,250,62,0,50,9
446,Lemon Grove (Double),920,40,22,0,265,510,123,1,101,17
447,Liberty Shell,380,19,11,0,120,200,43,0,39,9
448,Liberty Shell (Double),750,38,23,0,235,410,86,0,79,18
449,Logan Swirl,500,27,15,0,130,450,58,0,52,8
450,Logan Swirl (Double),1000,54,31,0,265,900,117,0,103,17
451,Lower West Side,480,28,17,0.5,120,150,52,4,44,9
452,Lower West Side (Double),970,56,33,1.5,245,310,105,7,88,18
453,M Street Treat,510,27,16,0,120,260,64,0,53,10
454,M Street Treat (Double),1030,54,33,0,245,530,129,1,106,20
455,Macaron Swoon,430,20,13,0,135,210,52,0,47,9
456,Macaron Swoon (Double),850,40,27,0,270,410,104,0,93,17
457,'Mallow Monsoon,420,22,13,0,120,210,53,0,45,8
458,'Mallow Monsoon (Double),850,44,26,0.5,240,410,105,1,89,16
459,Malt of America,460,22,13,0,125,390,58,0,50,8
460,Malt of America (Double),920,44,27,0,255,790,117,0,100,17
461,Malt Whitman,510,26,15,0,125,300,61,0,42,10
462,Malt Whitman (Double),1010,51,29,0,250,610,123,0,83,20
463,"Maple, Bacon and Banana",440,24,13,0,120,430,48,0,40,11
464,"Maple, Bacon and Banana (Double)",890,47,26,0,235,860,96,1,79,22
465,Marshmallow C.R.E.M.E.,550,29,16,0.5,125,220,720,0,58,9
466,Marshmallow C.R.E.M.E. (Double),1100,57,31,1.5,250,440,144,0,116,17
467,MB Malt,430,24,13,0,115,250,47,0,40,8
468,MB Malt (Double),870,48,26,0,235,510,94,1,79,17
469,Metairie Mixer,500,28,15,0,130,290,55,0,52,9
470,Metairie Mixer (Double),1010,56,31,0,255,580,110,0,104,17
471,Millenia Malt,500,29,18,0.5,120,160,60,0,51,8
472,Millenia Malt (Double),1010,57,35,1.5,245,310,120,0,102,16
473,Millennium Perk,480,24,13,0,115,330,58,0,47,9
474,Millennium Perk (Double),950,47,26,0,230,660,115,1,94,18
475,Mindy's Mix Up,490,26,15,0,140,420,57,0,40,9
476,Mindy's Mix Up (Double),980,52,30,0,275,840,114,0,79,18
477,MINT Chocolate,430,24,14,0.5,120,150,53,0,46,7
478,MINT Chocolate (Double),860,48,29,1.5,250,300,105,0,92,15
479,Minted Magic,460,26,15,0.5,125,150,57,0,50,8
480,Minted Magic (Double),920,51,31,1.5,250,300,114,0,99,15
481,Missi-chip-pi Fudge,430,24,14,0,125,260,46,0,36,9
482,Missi-chip-pi Fudge (Double),850,47,28,0,255,520,92,0,73,17
483,Mix In Control,490,22,14,0,130,300,65,0,54,10
484,Mix In Control (Double),990,44,27,0,260,600,130,0,108,19
485,Motor City Mix,470,27,16,0,130,260,48,0,46,9
486,Motor City Mix (Double),930,53,32,0,260,510,97,0,91,18
487,Mount Tam Graham,520,29,16,0.5,120,200,63,0,48,8
488,Mount Tam Graham (Double),1040,58,33,1.5,240,390,125,1,96,17
489,Murray Hill Malt,550,31,19,0.5,125,180,62,4,51,10
490,Murray Hill Malt (Double),1100,62,37,1.5,250,350,125,7,102,20
491,Music City 'Mallow,490,25,15,0.5,130,310,62,0,53,8
492,Music City 'Mallow (Double),980,51,30,1.5,255,630,125,0,107,15
493,Natural History Crunch-stellation,460,24,15,0,125,280,55,0,51,8
494,Natural History Crunch-stellation (Double),920,48,30,0,245,570,110,0,101,17
495,NewBERRY,350,17,10,0,110,220,44,0,39,8
496,NewBERRY (Double),710,33,20,0,225,450,88,1,79,16
497,New Castle,570,32,18,0,135,370,63,0,57,9
498,New Castle (Double),1140,65,36,0.5,265,730,126,0,114,17
499,Nothin' But Nets,470,22,13,0,115,300,66,0,50,9
500,Nothin' But Nets (Double),940,44,26,0.5,235,610,131,0,99,17
501,O Town Blend,510,27,15,0,130,500,59,0,54,8
502,O Town Blend (Double),1020,55,29,0,255,990,118,0,109,17
503,Oh Fudge,470,29,17,0.5,130,170,51,0,44,8
504,Oh Fudge (Double),940,58,35,1.5,260,330,103,0,88,16
505,Old Country Rocky Road,520,31,15,0.5,125,150,56,2,47,10
506,Old Country Rocky Road (Double),1030,63,30,1.5,250,300,111,3,94,20
507,One Stop Choc,540,30,17,0.5,140,230,66,0,45,8
508,One Stop Choc (Double),1090,61,35,1.5,280,470,132,0,89,17
509,OrlanDOUGH,510,28,16,0.5,125,170,61,0,51,8
510,OrlanDOUGH (Double),1010,55,32,1.5,255,340,123,0,101,17
511,Pearl & Pecan,530,33,15,0,130,400,51,1,49,9
512,Pearl & Pecan (Double),1060,66,30,0,260,800,103,3,96,18
513,Penthouse Sweet,480,28,17,0.5,140,410,55,0,42,8
514,Penthouse Sweet (Double),960,57,33,1.5,275,830,110,0,85,15
515,Pie Oh My,490,25,13,0,115,320,54,0,44,8
516,Pie Oh My (Double),970,51,26,0,230,640,109,1,88,17
517,Pie Oh My (Roadie)*,1950,101,52,0,460,1290,218,2,175,33
518,Presidential Sweet,470,22,14,0,120,340,59,0,56,9
519,Presidential Sweet (Double),940,45,28,0,245,680,118,1,112,17
520,Pretzel Place,500,29,17,0.5,135,350,56,3,48,8
521,Pretzel Place (Double),1000,57,34,1.5,265,710,113,6,95,16
522,Pretzel the Concrete,540,32,15,0.5,125,250,57,0,47,10
523,Pretzel the Concrete (Double),1070,63,31,1.5,245,510,115,0,94,20
524,Rainbow Connection,460,24,12,0,115,300,53,0,37,9
525,Rainbow Connection (Double),920,48,24,0.5,225,600,105,0,74,19
526,Red Velvet Rock,460,24,13,0,130,380,52,0,45,9
527,Red Velvet Rock (Double),920,48,26,0,265,760,105,0,90,18
528,Revere's Tracks,490,26,16,0,130,410,58,0,54,8
