Burgers,Calories,Total Fat,Sat Fat,Trans Fat,Chol.,Sodium,Total Carb,Fiber,Sugars,Protein
100% all-natural Angus beef. No hormones and no antibiotics ever. Our,,,,,,,,,,
proprietary Shack blend is freshly ground and served on a non-GMO potato,,,,,,,,,,
bun.,,,,,,,,,,
Single ShackBurger®,530,34,14,1,115,1260,26,0,6,29
Double ShackBurger®,790,52,23,2,195,2280,27,0,6,51
Single Hamburger,400,22,10,1,85,850,24,0,5,25
Double Hamburger,590,34,15,1.5,150,1540,24,0,5,44
Single Cheeseburger,470,28,14,1,105,1200,25,0,5,29
Double Cheeseburger,730,46,22,2,185,2220,25,0,5,51
"‘Shroom Burger",550,31,12,0.5,55,670,49,0,7,18
Shack Stack®,800,49,21,1.5,140,1700,50,0,7,40
Single SmokeShackTM,610,39,16,1,130,2010,28,0,7,36
Double SmokeShackTM,870,57,24,2,210,3030,28,0,7,58
Roadside Double Burger*,770,46,20,2,175,2300,32,0,7,53
Lockhart Link Burger*,810,60,24,1,165,2050,27,2,5,39
"Lockhart Link Burger, Double*",1070,78,32,2,245,3080,28,2,6,61
"Lockhart Link Burger, Triple*",1330,96,40,3,330,4110,29,2,6,83
Link Burger*,720,51,20,1,155,2000,29,2,6,37
"Link Burger, Double*",980,69,29,2,235,3020,29,2,7,59
"Link Burger, Triple*",1240,87,37,3,315,4050,30,2,7,81
"Green Chile CheddarShack, Single*",510,30,15,1,110,1380,28,1,6,30
"Green Chile CheddarShack, Double*",780,50,24,1.5,195,2190,28,1,6,54
Mound City Double*,810,52,22,1.5,195,2380,26,0,6,56
"Crackle Shack, Single*",580,37,15,1,120,1400,25,0,5,34
"Crackle Shack, Double*",770,49,20,2,185,2080,25,0,5,53
Montlake Double Cut*,940,64,29,1.5,230,2470,36,0,5,54
Golden State Double*,960,65,27,2,235,2200,41,0,9,52
"Bacon Cheeseburger, single",540,33,15,1,120,1480,25,0,5,35
"Bacon Cheeseburger, double",800,51,24,2,200,2510,25,0,6,58
Veggie Shack*,530,27,7,0,20,1250,56,6,10,16
"Veggie Shack, vegan, lettuce wrap*",310,18,1.5,0,0,900,31,4,6,4
"Veggie Shack, vegan*",390,22,1.5,0,0,1130,50,6,8,6
Grilled Cheese,350,22,13,0.5,55,850,25,0,5,14
Martin's Potato Roll,210,10,6,0,20,170,24,0,5,7
Gluten Free Bun,160,3.0,0,0,0,350,31,2,5,3
Lettuce Wrap,5,0,0,0,0,15,1,1,0,1
Burger Patty,190,12,4.5,0.5,65,690,0,0,0,19
American Cheese,70,6,3.5,0,15,340,1,0,0,4
ShackSauce,60,6,1,0,10,60,0,0,0,0
Lettuce,1,0,0,0,0,0,0,0,0,0
Tomato,5,0,0,0,0,0,1,0,0,0
Pickle,1,0,0,0,0,140,0,0,0,0
Onion,5,0,0,0,0,0,1,0,0,0
Bacon (2 Slices),70,4.5,1.5,0,15,290,0,0,0,6
Cherry Peppers,10,0,0,0,0,470,2,0,2,0
"",Calories,Total Fat,Sat Fat,Trans Fat,Chol.,Sodium,Total Carb,Fiber,Sugars,Prot
Chicken,,,,,,,,,,
100% all-natural cage-free chicken. No hormones and no antibiotics ever.,,,,,,,,,,
Served on a non-GMO potato bun.,,,,,,,,,,
Chick'n ShackTM,590,36,10,0,120,1170,34,0,6,33
Hot Chick'N,560,31,9,0,115,1220,38,1,8,33
Chick'n Bites (6 piece)*,300,19,3.5,0,50,780,15,0,1,17
Chick'n Bites (10 piece)*,510,32,6,0,85,1300,26,0,2,29
Herb Mayonnaise,90,10,0.5,0,10,140,0,0,0,0
BBQ Sauce*,70,0,0,0,0,380,16,0,14,1
Honey Mustard*,180,19,2.5,0.0,15,230,4,0,4,1
"",,,,,,,,,,
Breakfast*,Calories,Total Fat,Sat Fat,Trans Fat,Chol.,Sodium,Total Carb,Fiber,Sugars,Prot
"Cage-free eggs, griddled fresh. Served on a toasted non-GMO potato bun.",,,,,,,,,,
Bacon Breakfast Sandwich*,440,27,13,0.5,240,890,25,0,5,23
"",,,,,,,,,,
Bacon Breakfast Sandwich (Double Egg)*,530,34,15,0.5,425,990,26,0,6,29
"",,,,,,,,,,
Sausage Breakfast Sandwich*,560,37,16,0.5,270,1220,28,0,8,30
"",,,,,,,,,,
Sausage Breakfast Sandwich (Double Egg)*,650,43,18,0.5,455,1310,28,0,8,36
"",,,,,,,,,,
Egg and Cheese Breakfast Sandwich*,370,23,11,0.5,225,610,25,0,5,17
"",,,,,,,,,,
"",,,,,,,,,,
Flat -Top Dogs,Calories,Total Fat,Sat Fat,Trans Fat,Chol.,Sodium,Total Carb,Fiber,Sugars,Prot
"",,,,,,,,,,
"100% all-natural Vienna beef. No hormones andno antibiotics ever. Served on a toasted non-GMO potato bun.",,,,,,,,,,
"",,,,,,,,,,
Hot Dog,390,26,12,0,60,800,25,0,6,16
"",,,,,,,,,,
Chicken Dog,310,13,6,0,85,930,27,0,8,24
"",,,,,,,,,,
Shack-cago Dog®,410,26,12,0.5,60,1500,29,0,9,17
"",,,,,,,,,,
Chicken Shack-cago Dog®,330,13,6,0.5,85,1630,31,0,10,24
Sausage Link*,240,20,7,0,40,682,2,0,0,9
Publican Pork Sausage*,560,47,16,0,73,1188,14,1,1,13
"",,,,,,,,,,
Garden Dog*,220,10,6,0.5,20,1020,28,1,8,8
"",,,,,,,,,,
Add Cheese Sauce,80,7,5,0,30,95,1,0,0,2
"",,,,,,,,,,
Add Rick’s Picks Shack Relish,5,0,0,0,0,15,1,0,1,0
"",,,,,,,,,,
Fries,Calories,Total Fat,Sat Fat,Trans Fat,Chol.,Sodium,Total Carb,Fiber,Sugars,Prot
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
Regular Fries,470,22,4.5,0,15,740,63,7,1,6
"",,,,,,,,,,
Cheese Fries,710,44,19,0,95,1020,64,7,1,12
"",,,,,,,,,,
Bacon Cheese Fries,840,52,21,0,125,1570,65,7,1,24
"",,,,,,,,,,
Double Down Fries*,1910,117,49,1,270,4020,164,16,5,41
"",,,,,,,,,,
Big Bob's Cheese Fries*,800,46,19,0,115,1020,92,7,11,17
"",,,,,,,,,,
"",,,,,,,,,,
Shakes,Calories,Total Fat,Sat Fat,Trans Fat,Chol.,Sodium,Total Carb,Fiber,Sugars,Prot
Vanilla Shake,680,36,22,0,235,430,72,0,71,18
Vanilla Shake (12oz),500,27,16,0,175,320,53,0,52,13
Chocolate Shake,750,45,27,1.5,255,310,76,0,69,16
Chocolate Shake (12oz),550,33,20,1,190,220,56,0,51,12
Salted Caramel Shake,840,42,26,0,260,950,99,0,96,17
Salted Caramel Shake (12oz),630,32,20,0,195,720,74,0,72,13
Black & White Shake,770,42,26,0,245,460,80,0,76,19
"",,,,,,,,,,
Black & White Shake (12oz),580,32,19,0,180,350,60,0,58,14
"",,,,,,,,,,
Strawberry Shake,690,35,21,0,230,430,77,0,75,17
"",,,,,,,,,,
Strawberry Shake (12oz),520,27,16,0,175,320,58,0,56,13
"",,,,,,,,,,
Cookies & Cream Shake,850,44,24,0,235,580,98,0,86,19
"",,,,,,,,,,
Cookies & Cream Shake (12oz),630,33,18,0,175,430,73,0,64,15
"",,,,,,,,,,
Coffee Shake,680,35,22,0,235,420,74,0,70,18
"",,,,,,,,,,
Coffee Shake (12oz),510,27,16,0,175,320,56,0,52,14
"",,,,,,,,,,
Peachtree Shake*,770,38,23,0,240,670,95,0,91,16
"",,,,,,,,,,
Traffic JAM Shake*,790,35,21,0,230,410,106,0,102,17
"",,,,,,,,,,
Bourbon Salted Caramel Shake*,890,44,27,0,260,700,89,0,87,18
"",,,,,,,,,,
Loaded Chocolate Cookies & Cream Shake*,1160,56,32,1.5,265,450,126,0,108,17
"",,,,,,,,,,
TKO' Clock Chocolate Cookies & Cream Shake*,1020,59,33,1.5,270,500,112,0,92,19
"",,,,,,,,,,
Bananas Foster Shake*,850,42,26,0,255,940,107,0,103,16
"",,,,,,,,,,
Whipped Cream,70,5,3.5,0,20,20,5,0,4,1
"",,,,,,,,,,
"",,,,,,,,,,
Floats,Calories,Total Fat,Sat Fat,Trans Fat,Chol.,Sodium,Total Carb,Fiber,Sugars,Protein
"",,,,,,,,,,
Root Beer Float,430,15,9,0,100,220,70,0,69,7
"",,,,,,,,,,
Purple Cow Float,460,15,9,0,100,210,79,0,78,7
"",,,,,,,,,,
Creamsicle® Float,440,15,9,0,100,240,75,0,74,7
"",,,,,,,,,,
"",,,,,,,,,,
Cups & Cones,Calories,Total Fat,Sat Fat,Trans Fat,Chol.,Sodium,Total Carb,Fiber,Sugars,Prot
"",,,,,,,,,,
Single Chocolate Cup,310,19,11,0.5,110,120,32,0,29,6
"",,,,,,,,,,
Double Chocolate Cup,490,30,18,1,175,190,51,0,47,9
"",,,,,,,,,,
Single Vanilla Cup,280,15,9,0,100,180,30,0,30,7
"",,,,,,,,,,
Double Vanilla Cup,450,24,14,0,165,280,49,0,48,11
"",,,,,,,,,,
Single Vanilla & Chocolate Cup,290,17,10,0,105,150,31,0,29,6
"",,,,,,,,,,
Double Vanilla & Chocolate Cup,470,27,16,0,170,230,50,0,47,10
"",,,,,,,,,,
Single Chocolate Cone,360,20,11,0.5,110,180,42,0,33,7
"",,,,,,,,,,
Double Chocolate Cone,540,31,18,1,175,250,61,0,50,10
"",,,,,,,,,,
Single Vanilla Cone,330,15,9,0,100,230,41,0,33,7
"",,,,,,,,,,
Double Vanilla Cone,500,24,15,0,165,340,59,0,51,11
"",,,,,,,,,,
Single Vanilla & Chocolate Cone,340,17,10,0,105,200,41,0,33,7
"",,,,,,,,,,
Double Vanilla & Chocolate Cone,520,28,16,0,170,290,60,0,51,11
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
Concretes**,Calories,Total Fat,Sat Fat,Trans Fat,Chol.,Sodium,Total Carbs,Fiber,Sugars,Protein
"",,,,,,,,,,
125th Street Treat,460,21,12,0,130,310,61,0,51,9
"",,,,,,,,,,
125th Street Treat (Double),930,41,24,0,265,610,122,1,102,18
"",,,,,,,,,,
24 Carrot Magic,480,27,14,0.5,150,200,55,0,44,9
"",,,,,,,,,,
24 Carrot Magic (Double),970,54,27,1.5,295,390,111,0,89,17
"",,,,,,,,,,
a la Rhode,410,20,12,0,120,340,52,0,48,8
"",,,,,,,,,,
a la Rohde (Double),820,40,25,0,240,680,102,1,94,16
"",,,,,,,,,,
A Sprinkle In Time,500,23,14,1,140,250,66,0,54,8
"",,,,,,,,,,
